FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
0 GSO-85 0 GSO-21 OT 0 0.8477 0.0 0.1523 0.1523 -1 0.755492 0.7081 2.75
0 GSO-85 0 GSO-106 OT 0 1.0 0.0 0.0 0.0 -1 0.717762 0.0502 0.875
0 GSO-85 0 GSO-74 OT 0 1.0 0.0 0.0 0.0 -1 0.707847 0.8633 4.0
0 GSO-85 0 GSO-7 OT 0 1.0 0.0 0.0 0.0 -1 0.699337 0.5 2.0
0 GSO-85 0 GSO-136 OT 0 1.0 0.0 0.0 0.0 -1 0.723521 0.5 2.0
0 GSO-85 0 GSO-42 OT 0 1.0 0.0 0.0 0.0 -1 0.676745 0.1367 1.1429
0 GSO-85 0 GSO-38 OT 0 1.0 0.0 0.0 0.0 -1 0.675088 0.8633 4.0
0 GSO-85 0 GSO-111 OT 0 1.0 0.0 0.0 0.0 -1 0.679891 0.7081 2.75
0 GSO-85 0 GSO-20 OT 0 0.736 0.2285 0.0354 0.1497 -1 0.746975 0.7081 2.75
0 GSO-85 0 GSO-28 OT 0 1.0 0.0 0.0 0.0 -1 0.700241 0.5 2.0
0 GSO-85 0 GSO-115 OT 0 1.0 0.0 0.0 0.0 -1 0.690313 0.7081 2.75
0 GSO-85 0 GSO-125 OT 0 1.0 0.0 0.0 0.0 -1 0.681595 0.5 2.0
0 GSO-85 0 GSO-87 OT 0 1.0 0.0 0.0 0.0 -1 0.708732 0.1367 1.1429
0 GSO-85 0 GSO-120 OT 0 1.0 0.0 0.0 0.0 -1 0.733418 0.5 2.0
0 GSO-85 0 GSO-141 OT 0 1.0 0.0 0.0 0.0 -1 0.701287 0.1367 1.1429
0 GSO-85 0 GSO-2 OT 0 1.0 0.0 0.0 0.0 -1 0.6837 0.0502 0.875
0 GSO-85 0 GSO-45 OT 0 1.0 0.0 0.0 0.0 -1 0.723523 0.1367 1.1429
0 GSO-85 0 GSO-18 OT 0 1.0 0.0 0.0 0.0 -1 0.698005 0.5 2.0
0 GSO-85 0 GSO-22 OT 0 0.9775 0.0 0.0225 0.0225 -1 0.717125 0.5 2.0
0 GSO-85 0 GSO-78 OT 0 1.0 0.0 0.0 0.0 -1 0.699766 0.0929 1.0
0 GSO-85 0 GSO-65 OT 0 1.0 0.0 0.0 0.0 -1 0.695022 0.1367 1.1429
0 GSO-85 0 GSO-128 OT 0 1.0 0.0 0.0 0.0 -1 0.684026 0.7081 2.75
0 GSO-85 0 GSO-116 OT 0 1.0 0.0 0.0 0.0 -1 0.719059 0.1367 1.1429
0 GSO-85 0 GSO-92 OT 0 1.0 0.0 0.0 0.0 -1 0.732549 0.1367 1.1429
0 GSO-85 0 GSO-139 OT 0 1.0 0.0 0.0 0.0 -1 0.719557 0.5 2.0
0 GSO-85 0 GSO-123 OT 0 1.0 0.0 0.0 0.0 -1 0.705673 0.2919 1.5
0 GSO-85 0 GSO-97 OT 0 1.0 0.0 0.0 0.0 -1 0.715069 0.0142 0.6667
0 GSO-85 0 GSO-138 OT 0 1.0 0.0 0.0 0.0 -1 0.703414 0.2919 1.5
0 GSO-85 0 GSO-31 OT 0 1.0 0.0 0.0 0.0 -1 0.687338 0.2919 1.5
0 GSO-85 0 GSO-15 OT 0 1.0 0.0 0.0 0.0 -1 0.698283 0.5 2.0
0 GSO-85 0 GSO-59 OT 0 1.0 0.0 0.0 0.0 -1 0.713982 0.0502 0.875
0 GSO-85 0 GSO-58 OT 0 1.0 0.0 0.0 0.0 -1 0.700212 0.7081 2.75
0 GSO-85 0 GSO-12 OT 0 1.0 0.0 0.0 0.0 -1 0.684601 0.5 2.0
0 GSO-85 0 GSO-26 OT 0 1.0 0.0 0.0 0.0 -1 0.704733 0.1367 1.1429
0 GSO-85 0 GSO-86 OT 0 1.0 0.0 0.0 0.0 -1 0.69905 0.2919 1.5
0 GSO-85 0 GSO-94 OT 0 1.0 0.0 0.0 0.0 -1 0.715906 0.9498 6.5
0 GSO-85 0 GSO-19 OT 0 1.0 0.0 0.0 0.0 -1 0.716979 0.2919 1.5
0 GSO-85 0 GSO-63 OT 0 1.0 0.0 0.0 0.0 -1 0.709904 0.7081 2.75
0 GSO-21 0 GSO-106 OT 0 1.0 0.0 0.0 0.0 -1 0.688828 0.2919 1.5
0 GSO-21 0 GSO-74 OT 0 1.0 0.0 0.0 0.0 -1 0.708295 0.2919 1.5
0 GSO-21 0 GSO-7 OT 0 1.0 0.0 0.0 0.0 -1 0.689154 0.2919 1.5
0 GSO-21 0 GSO-136 OT 0 1.0 0.0 0.0 0.0 -1 0.708075 0.1367 1.1429
0 GSO-21 0 GSO-42 OT 0 1.0 0.0 0.0 0.0 -1 0.690049 0.5 2.0
