FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
0 GSO-68 0 GSO-129 OT 0 0.7268 0.2303 0.0429 0.1581 -1 0.749329 0.7081 2.75
0 GSO-68 0 GSO-43 OT 0 1.0 0.0 0.0 0.0 -1 0.70516 0.0502 0.875
0 GSO-68 0 GSO-14 OT 0 1.0 0.0 0.0 0.0 -1 0.694861 0.0502 0.875
0 GSO-68 0 GSO-51 OT 0 1.0 0.0 0.0 0.0 -1 0.684732 0.1367 1.1429
0 GSO-68 0 GSO-73 OT 0 1.0 0.0 0.0 0.0 -1 0.674574 0.2919 1.5
0 GSO-68 0 GSO-79 OT 0 0.8868 0.0388 0.0744 0.0938 -1 0.737338 0.7081 2.75
0 GSO-68 0 GSO-37 OT 0 1.0 0.0 0.0 0.0 -1 0.674344 0.1367 1.1429
0 GSO-68 0 GSO-105 OT 0 1.0 0.0 0.0 0.0 -1 0.719357 0.8633 4.0
0 GSO-68 0 GSO-110 OT 0 1.0 0.0 0.0 0.0 -1 0.698375 0.7081 2.75
0 GSO-68 0 GSO-34 OT 0 1.0 0.0 0.0 0.0 -1 0.723164 0.7081 2.75
0 GSO-68 0 GSO-137 OT 0 1.0 0.0 0.0 0.0 -1 0.689774 0.1367 1.1429
0 GSO-68 0 GSO-126 OT 0 0.7682 0.1786 0.0531 0.1424 -1 0.746583 0.5 2.0
0 GSO-68 0 GSO-44 OT 0 1.0 0.0 0.0 0.0 -1 0.688996 0.1367 1.1429
0 GSO-68 0 GSO-133 OT 0 1.0 0.0 0.0 0.0 -1 0.691637 0.1367 1.1429
0 GSO-68 0 GSO-33 OT 0 1.0 0.0 0.0 0.0 -1 0.688467 0.1367 1.1429
0 GSO-68 0 GSO-84 OT 0 0.8983 0.0714 0.0303 0.066 -1 0.72821 0.1367 1.1429
0 GSO-68 0 GSO-35 OT 0 1.0 0.0 0.0 0.0 -1 0.695727 0.5 2.0
0 GSO-68 0 GSO-70 OT 0 1.0 0.0 0.0 0.0 -1 0.686118 0.1367 1.1429
0 GSO-68 0 GSO-40 OT 0 1.0 0.0 0.0 0.0 -1 0.726476 0.1367 1.1429
0 GSO-68 0 GSO-89 OT 0 1.0 0.0 0.0 0.0 -1 0.679588 0.2919 1.5
0 GSO-68 0 GSO-112 OT 0 1.0 0.0 0.0 0.0 -1 0.684225 0.8633 4.0
0 GSO-68 0 GSO-25 OT 0 1.0 0.0 0.0 0.0 -1 0.69752 0.1367 1.1429
0 GSO-68 0 GSO-130 OT 0 0.9171 0.0 0.0829 0.0829 -1 0.734455 0.2919 1.5
0 GSO-68 0 GSO-39 OT 0 1.0 0.0 0.0 0.0 -1 0.730126 0.9498 6.5
0 GSO-68 0 GSO-140 OT 0 1.0 0.0 0.0 0.0 -1 0.685328 0.2919 1.5
0 GSO-68 0 GSO-118 OT 0 0.2962 0.5606 0.1432 0.4235 -1 0.814604 0.7081 2.75
0 GSO-68 0 GSO-6 OT 0 1.0 0.0 0.0 0.0 -1 0.687067 0.0142 0.6667
0 GSO-68 0 GSO-24 OT 0 1.0 0.0 0.0 0.0 -1 0.715056 0.2919 1.5
0 GSO-68 0 GSO-32 OT 0 1.0 0.0 0.0 0.0 -1 0.698325 0.0502 0.875
0 GSO-68 0 GSO-75 OT 0 1.0 0.0 0.0 0.0 -1 0.714949 0.7081 2.75
0 GSO-68 0 GSO-81 OT 0 1.0 0.0 0.0 0.0 -1 0.667408 0.0142 0.6667
0 GSO-68 0 GSO-13 OT 0 1.0 0.0 0.0 0.0 -1 0.707212 0.5 2.0
0 GSO-68 0 GSO-109 OT 0 1.0 0.0 0.0 0.0 -1 0.666006 0.0005 0.3636
0 GSO-68 0 GSO-48 OT 0 1.0 0.0 0.0 0.0 -1 0.723905 0.1367 1.1429
0 GSO-68 0 GSO-23 OT 0 1.0 0.0 0.0 0.0 -1 0.695809 0.0031 0.5
0 GSO-68 0 GSO-29 OT 0 1.0 0.0 0.0 0.0 -1 0.706888 0.5 2.0
0 GSO-68 0 GSO-91 OT 0 0.6549 0.2278 0.1174 0.2313 -1 0.770519 0.0142 0.6667
0 GSO-68 0 GSO-95 OT 0 0.6633 0.3367 0.0 0.1683 -1 0.741649 0.2248 1.3333
0 GSO-68 0 GSO-114 OT 0 1.0 0.0 0.0 0.0 -1 0.673579 0.1367 1.1429
0 GSO-68 0 GSO-17 OT 0 1.0 0.0 0.0 0.0 -1 0.728477 0.1367 1.1429
0 GSO-68 0 GSO-134 OT 0 1.0 0.0 0.0 0.0 -1 0.70384 0.1367 1.1429
0 GSO-68 0 GSO-124 OT 0 1.0 0.0 0.0 0.0 -1 0.730037 0.1367 1.1429
0 GSO-68 0 GSO-64 OT 0 1.0 0.0 0.0 0.0 -1 0.713582 0.1367 1.1429
0 GSO-68 0 GSO-60 OT 0 1.0 0.0 0.0 0.0 -1 0.687734 0.0005 0.3636
0 GSO-68 0 GSO-104 OT 0 1.0 0.0 0.0 0.0 -1 0.684696 0.1367 1.1429
0 GSO-68 0 GSO-143 OT 0 1.0 0.0 0.0 0.0 -1 0.69862 0.7081 2.75
0 GSO-68 0 GSO-10 OT 0 1.0 0.0 0.0 0.0 -1 0.695917 0.5 2.0
0 GSO-68 0 GSO-1 OT 0 1.0 0.0 0.0 0.0 -1 0.682288 0.1367 1.1429
0 GSO-68 0 GSO-142 OT 0 1.0 0.0 0.0 0.0 -1 0.688581 0.0502 0.875
0 GSO-68 0 GSO-83 OT 0 1.0 0.0 0.0 0.0 -1 0.714675 0.0142 0.6667
0 GSO-68 0 GSO-72 OT 0 1.0 0.0 0.0 0.0 -1 0.688368 0.2919 1.5
0 GSO-68 0 GSO-53 OT 0 1.0 0.0 0.0 0.0 -1 0.685073 0.0502 0.875
0 GSO-68 0 GSO-101 OT 0 1.0 0.0 0.0 0.0 -1 0.700102 0.0031 0.5
0 GSO-68 0 GSO-103 OT 0 1.0 0.0 0.0 0.0 -1 0.689304 0.2919 1.5
0 GSO-68 0 GSO-131 OT 0 0.9175 0.0421 0.0404 0.0615 -1 0.727891 0.5 2.0
0 GSO-68 0 GSO-71 OT 0 1.0 0.0 0.0 0.0 -1 0.68855 0.7081 2.75
0 GSO-68 0 GSO-80 OT 0 1.0 0.0 0.0 0.0 -1 0.719624 0.1367 1.1429
0 GSO-68 0 GSO-88 OT 0 1.0 0.0 0.0 0.0 -1 0.693286 0.5 2.0
0 GSO-68 0 GSO-121 OT 0 1.0 0.0 0.0 0.0 -1 0.728543 0.0502 0.875
0 GSO-68 0 GSO-93 OT 0 1.0 0.0 0.0 0.0 -1 0.69377 0.7081 2.75
0 GSO-68 0 GSO-66 OT 0 1.0 0.0 0.0 0.0 -1 0.712594 0.5 2.0
0 GSO-68 0 GSO-90 OT 0 1.0 0.0 0.0 0.0 -1 0.72153 0.8633 4.0
0 GSO-68 0 GSO-99 OT 0 1.0 0.0 0.0 0.0 -1 0.686647 0.8633 4.0
0 GSO-68 0 GSO-69 OT 0 0.792 0.208 0.0 0.104 -1 0.730147 0.2919 1.5
0 GSO-68 0 GSO-102 OT 0 0.8329 0.1467 0.0204 0.0938 -1 0.733645 0.7081 2.75
0 GSO-129 0 GSO-43 OT 0 1.0 0.0 0.0 0.0 -1 0.697121 0.0142 0.6667
0 GSO-129 0 GSO-14 OT 0 0.6993 0.2969 0.0038 0.1522 -1 0.745369 0.1367 1.1429
0 GSO-129 0 GSO-51 OT 0 0.8899 0.1101 0.0 0.0551 -1 0.712826 0.5 2.0
0 GSO-129 0 GSO-73 OT 0 1.0 0.0 0.0 0.0 -1 0.712062 0.2919 1.5
0 GSO-129 0 GSO-79 OT 0 0.7915 0.2085 0.0 0.1042 -1 0.731396 0.7081 2.75
0 GSO-129 0 GSO-37 OT 0 0.6609 0.3391 0.0 0.1695 -1 0.725124 0.2919 1.5
0 GSO-129 0 GSO-105 OT 0 1.0 0.0 0.0 0.0 -1 0.716037 0.1367 1.1429
0 GSO-129 0 GSO-110 OT 0 1.0 0.0 0.0 0.0 -1 0.700832 0.5 2.0
0 GSO-129 0 GSO-34 OT 0 0.2648 0.7352 0.0 0.3676 -1 0.773963 0.5 2.0
0 GSO-129 0 GSO-137 OT 0 0.9596 0.0404 0.0 0.0202 -1 0.711697 0.5 2.0
0 GSO-129 0 GSO-126 OT 0 1.0 0.0 0.0 0.0 -1 0.711604 0.8633 4.0
0 GSO-129 0 GSO-44 OT 0 1.0 0.0 0.0 0.0 -1 0.703293 0.1367 1.1429
0 GSO-129 0 GSO-133 OT 0 0.76 0.2085 0.0314 0.1357 -1 0.743623 0.1367 1.1429
0 GSO-129 0 GSO-33 OT 0 0.758 0.242 0.0 0.121 -1 0.718663 0.1367 1.1429
0 GSO-129 0 GSO-84 OT 0 0.1891 0.8109 0.0 0.4054 -1 0.794926 0.9498 6.5
0 GSO-129 0 GSO-35 OT 0 1.0 0.0 0.0 0.0 -1 0.705714 0.2919 1.5
0 GSO-129 0 GSO-70 OT 0 0.2769 0.6994 0.0238 0.3735 -1 0.795434 0.2919 1.5
0 GSO-129 0 GSO-40 OT 0 0.2691 0.6945 0.0365 0.3837 -1 0.798549 0.8633 4.0
0 GSO-129 0 GSO-89 OT 0 1.0 0.0 0.0 0.0 -1 0.714879 0.1367 1.1429
0 GSO-129 0 GSO-112 OT 0 0.296 0.6819 0.0221 0.363 -1 0.793024 0.5 2.0
0 GSO-129 0 GSO-25 OT 0 0.5897 0.4054 0.0049 0.2076 -1 0.757628 0.8633 4.0
0 GSO-129 0 GSO-130 OT 0 0.2778 0.7222 0.0 0.3611 -1 0.785235 0.7081 2.75
0 GSO-129 0 GSO-39 OT 0 0.8913 0.0 0.1087 0.1087 -1 0.73714 0.9498 6.5
0 GSO-129 0 GSO-140 OT 0 0.9254 0.0 0.0746 0.0746 -1 0.727376 0.0502 0.875
0 GSO-129 0 GSO-118 OT 0 0.783 0.217 0.0 0.1085 -1 0.722821 0.7081 2.75
0 GSO-129 0 GSO-6 OT 0 1.0 0.0 0.0 0.0 -1 0.717948 0.0031 0.5
0 GSO-129 0 GSO-24 OT 0 1.0 0.0 0.0 0.0 -1 0.682848 0.7081 2.75
0 GSO-129 0 GSO-32 OT 0 1.0 0.0 0.0 0.0 -1 0.707783 0.1367 1.1429
0 GSO-129 0 GSO-75 OT 0 0.2283 0.7717 0.0 0.3858 -1 0.788009 0.9498 6.5
0 GSO-129 0 GSO-81 OT 0 1.0 0.0 0.0 0.0 -1 0.686773 0.0142 0.6667
0 GSO-129 0 GSO-13 OT 0 0.5328 0.4128 0.0544 0.2608 -1 0.772731 0.2919 1.5
0 GSO-129 0 GSO-109 OT 0 1.0 0.0 0.0 0.0 -1 0.686438 0.0142 0.6667
0 GSO-129 0 GSO-48 OT 0 0.2547 0.7453 0.0 0.3727 -1 0.779951 0.2919 1.5
0 GSO-129 0 GSO-23 OT 0 1.0 0.0 0.0 0.0 -1 0.658132 0.0502 0.875
0 GSO-129 0 GSO-29 OT 0 0.5615 0.4223 0.0161 0.2273 -1 0.762742 0.2919 1.5
0 GSO-129 0 GSO-91 OT 0 0.414 0.5068 0.0792 0.3326 -1 0.790213 0.0294 0.75
0 GSO-129 0 GSO-95 OT 0 0.4174 0.5826 0.0 0.2913 -1 0.766814 0.4251 1.8
0 GSO-129 0 GSO-114 OT 0 1.0 0.0 0.0 0.0 -1 0.690919 0.5 2.0
0 GSO-129 0 GSO-17 OT 0 1.0 0.0 0.0 0.0 -1 0.704648 0.5 2.0
0 GSO-129 0 GSO-134 OT 0 1.0 0.0 0.0 0.0 -1 0.706198 0.0142 0.6667
0 GSO-129 0 GSO-124 OT 0 0.8178 0.0 0.1822 0.1822 -1 0.753711 0.0294 0.75
0 GSO-129 0 GSO-64 OT 0 0.6236 0.3764 0.0 0.1882 -1 0.75018 0.2919 1.5
0 GSO-129 0 GSO-60 OT 0 1.0 0.0 0.0 0.0 -1 0.685505 0.0142 0.6667
