FID IID SEX
0 GSO-102 F
0 GSO-69 F
0 GSO-99 F
0 GSO-90 M
0 GSO-66 F
0 GSO-93 F
0 GSO-121 F
0 GSO-88 F
0 GSO-80 F
0 GSO-71 F
0 GSO-131 F
0 GSO-53 F
0 GSO-72 F
0 GSO-103 M
0 GSO-101 F
0 GSO-83 F
0 GSO-142 F
0 GSO-1 F
0 GSO-10 F
0 GSO-143 F
0 GSO-104 M
0 GSO-60 F
0 GSO-64 F
0 GSO-124 F
0 GSO-134 F
0 GSO-17 F
0 GSO-114 F
0 GSO-95 F
0 GSO-91 F
0 GSO-29 F
0 GSO-23 F
0 GSO-48 F
0 GSO-109 F
0 GSO-13 F
0 GSO-81 F
0 GSO-75 F
0 GSO-32 F
0 GSO-24 F
0 GSO-6 F
0 GSO-118 F
0 GSO-140 M
0 GSO-39 F
0 GSO-130 F
0 GSO-25 M
0 GSO-112 F
0 GSO-40 F
0 GSO-70 F
0 GSO-35 F
0 GSO-84 F
0 GSO-33 M
0 GSO-133 M
0 GSO-44 F
0 GSO-89 F
0 GSO-126 M
0 GSO-137 M
0 GSO-34 M
0 GSO-110 F
0 GSO-105 F
0 GSO-37 F
0 GSO-79 M
0 GSO-73 F
0 GSO-51 F
0 GSO-14 F
0 GSO-43 M
0 GSO-129 M
0 GSO-68 F
